Kod ,Pověřená obec,Kod úřadu ČSÚ,Typ úřadu,Kod okresu
10287,zÚ Dortmund                                  ,,Z,0
3866,Zábřeh                                       ,7113,N,3809
3705,Zlín,7213,N,3705
13,Zlínský kraj                                 ,,K,3705
3713,Znojmo                                       ,6220,N,3713
10305,Zu Ho Či Minovo Měst                         ,,Z,0
10279,Zú Astana                                    ,,Z,0
10293,Zú Asunción                                  ,,Z,0
10282,Zú Bamako                                    ,,Z,0
10273,Zú Banjul                                    ,,Z,0
10288,Zú Bergen                                    ,,Z,0
10300,Zú Boston                                    ,,Z,0
10271,Zú Burgas                                    ,,Z,0
10304,Zú Cardiff                                   ,,Z,0
10303,Zú Doněck                                    ,,Z,0
10276,Zú Eilat                                     ,,Z,0
10283,Zú Fes                                       ,,Z,0
10294,Zú Funchal                                   ,,Z,0
10275,Zú Georgetown                                ,,Z,0
10274,Zú Guatemala                                 ,,Z,0
10306,Zú Haiphong                                  ,,Z,0
10295,Zú Chanty-Mansijsk                           ,,Z,0
10296,Zú Jerez de la Frontera                      ,,Z,0
10291,Zú Karáčí                                    ,,Z,0
10266,Zú Kábul                                     ,,Z,0
10285,Zú Kišiněv                                   ,,Z,0
10277,Zú Kóbe                                      ,,Z,0
10290,Zú Lahore                                    ,,Z,0
10302,Zú Lomé                                      ,,Z,0
10267,Zú Lutych                                    ,,Z,0
10286,Zú Maputo                                    ,,Z,0
10268,Zú Namur                                     ,,Z,0
10284,Zú Nouakchott                                ,,Z,0
10297,Zú Palma de Mallorca                         ,,Z,0
10301,Zú Phuket                                    ,,Z,0
10281,Zú Pchjongjang                               ,,Z,0
10298,Zú Pittsburgh                                ,,Z,0
10272,Zú Podgorica                                 ,,Z,0
10292,Zú Port Moresby                              ,,Z,0
10280,Zú Praia                                     ,,Z,0
10269,Zú Recife                                    ,,Z,0
10289,Zú Trondheim                                 ,,Z,0
10270,Zú Varna                                     ,,Z,0
10176,Zú Varšava, ,Z,0
10299,Zú West                                      ,,Z,0
10254,ZÚ Aarhus                                    , ,Z,0
10157,ZÚ Abidjan                                   , ,Z,0
10158,ZÚ Abuja                                     , ,Z,0
10167,ZÚ Abú Dhabí                                 , ,Z,0
10051,ZÚ Addis Abeba                               , ,Z,0
10015,ZÚ Adelaide                                  , ,Z,0
10072,ZÚ Akkra                                     , ,Z,0
10205,ZÚ Aleppo                                    , ,Z,0
10053,ZÚ Alexandria                                , ,Z,0
10116,ZÚ Almaty                                    , ,Z,0
10003,ZÚ Alžír                                     , ,Z,0
10107,ZÚ Ammán                                     , ,Z,0
10160,ZÚ Amsterdam                                 , ,Z,0
10233,ZÚ Anchorage                                 , ,Z,0
10225,ZÚ Ankara                                    , ,Z,0
10223,ZÚ Antalya                                   , ,Z,0
10028,ZÚ Antverpy                                  , ,Z,0
10194,ZÚ Athény                                    , ,Z,0
10234,ZÚ Atlanta                                   , ,Z,0
10166,ZÚ Auckland                                  , ,Z,0
10088,ZÚ Bagdád                                    , ,Z,0
10308,ZÚ Baku                                      ,0,Z,0
10257,ZÚ Bali                                      , ,Z,0
10108,ZÚ Bangkok                                   , ,Z,0
10207,ZÚ Barcelona                                 , ,Z,0
10118,ZÚ Barranquilla                              , ,Z,0
10215,ZÚ Basilej                                   , ,Z,0
10128,ZÚ Bejrút                                    , ,Z,0
10037,ZÚ Belém                                     , ,Z,0
10265,ZÚ Belfast                                   , ,Z,0
10097,ZÚ Benátky                                   , ,Z,0
10253,ZÚ Benidorm                                  , ,Z,0
10163,ZÚ Bergen                                    , ,Z,0
10154,ZÚ Berlín                                    , ,Z,0
10218,ZÚ Bern                                      , ,Z,0
10185,ZÚ Bělehrad                                  , ,Z,0
10258,ZÚ Biškek                                    , ,Z,0
10120,ZÚ Bogota                                    , ,Z,0
10153,ZÚ Bonn                                      , ,Z,0
10041,ZÚ Brasília                                  , ,Z,0
